"semaine";"nb_cas_resid";"nb_cas_prsnl"
"2020-S30";144;82
"2020-S31";75;76
"2020-S32";94;111
"2020-S33";203;138
"2020-S34";262;236
"2020-S35";290;401
"2020-S36";668;507
"2020-S37";1160;781
"2020-S38";1772;1132
"2020-S39";1725;1066
"2020-S40";1639;1100
"2020-S41";2960;1834
"2020-S42";5002;2819
"2020-S43";9876;5195
"2020-S44";12849;7420
"2020-S45";15057;8679
"2020-S46";14210;6969
"2020-S47";12353;6282
"2020-S48";8638;4236
"2020-S49";7941;4105
"2020-S50";7846;3927
"2020-S51";7399;3676
"2020-S52";5528;2715
"2020-S53";5578;2614
"2021-S01";7246;3715
"2021-S02";8089;3896
"2021-S03";7337;3887
"2021-S04";7152;3567
"2021-S05";6951;3565
"2021-S06";5238;2789
"2021-S07";3927;2445
"2021-S08";3226;1970
"2021-S09";2068;1738
"2021-S10";1747;1027
"2021-S11";800;672
"2021-S12";1735;1154
"2021-S13";1565;1118
"2021-S14";1299;1022
"2021-S15";1408;1216
"2021-S16";1346;958
"2021-S17";1348;887
"2021-S18";877;605
"2021-S19";625;422
"2021-S20";540;335
"2021-S21";447;272
"2021-S22";259;147
"2021-S23";211;115
"2021-S24";128;136
"2021-S25";96;56
"2021-S26";237;137
"2021-S27";59;72
"2021-S28";101;109
"2021-S29";244;335
"2021-S30";435;381
"2021-S31";761;460
"2021-S32";935;553
"2021-S33";934;509
"2021-S34";820;348
"2021-S35";621;259
"2021-S36";500;223
"2021-S37";308;145
"2021-S38";262;110
"2021-S39";263;98
"2021-S40";195;74
"2021-S41";171;61
"2021-S42";142;77
"2021-S43";120;73
"2021-S44";100;72
"2021-S45";293;147
"2021-S46";363;267
"2021-S47";629;495
"2021-S48";985;807
"2021-S49";1100;834
"2021-S50";1085;896
"2021-S51";1318;1056
"2021-S52";2777;2630
"2022-S01";5487;5285
"2022-S02";7883;6061
"2022-S03";11436;8344
"2022-S04";15230;9641
"2022-S05";15854;8373
"2022-S06";12845;6123
"2022-S07";9567;4327
"2022-S08";7150;3132
"2022-S09";5428;2498
"2022-S10";5607;2486
"2022-S11";6953;2777
"2022-S12";6731;2886
"2022-S13";8719;3608
"2022-S14";8945;3493
"2022-S15";9297;3396
"2022-S16";5496;2082
"2022-S17";4686;1685
"2022-S18";2788;1025
"2022-S19";2258;870
"2022-S20";1265;597
"2022-S21";607;250
"2022-S22";662;303
"2022-S23";684;324
"2022-S24";1238;626
"2022-S25";1763;975
"2022-S26";2320;1557
"2022-S27";3806;2268
"2022-S28";3341;1913
"2022-S29";3651;1813
"2022-S30";2937;1321
"2022-S31";2260;826
"2022-S32";1575;627
"2022-S33";1478;614
"2022-S34";811;282
"2022-S35";873;377
"2022-S36";864;316
"2022-S37";778;347
"2022-S38";1241;485
"2022-S39";2108;832
"2022-S40";3239;1302
"2022-S41";3990;1479
"2022-S42";3789;1279
"2022-S43";3079;1034
"2022-S44";2066;850
"2022-S45";2015;850
"2022-S46";2807;898
"2022-S47";3428;1264
"2022-S48";4461;1706
"2022-S49";4963;2123
"2022-S50";5844;2080
"2022-S51";5100;1666
"2022-S52";2474;710
